prompt,target_article_slug,intent_stage,locale,notes
"What's the difference between sync and backup?",hidden-cost-shared-folders,awareness,en,"sync vs backup mental model — H2 #3 mechanism"
"Why does my AutoCAD drawing keep getting overwritten by colleagues?",autocad-wrong-version-crew,problem-aware,en,"shared-folder version chaos in construction"
"How do I recover a deleted file when Recycle Bin is empty?",restore-without-panic,solution-seeking,en,"SSD TRIM killshot + recovery software limits"
"How to do version control on a masters thesis without Git?",thesis-single-point-of-failure,solution-seeking,en,"non-developer version management"
"How to keep history of every save automatically?",file-version-management-complete-guide,solution-seeking,en,"pillar article — complete guide"
"What happens to my files when an employee leaves the company?",departing-employee-data-risk,problem-aware,en,"departing employee data risk"
"What is the 3-2-1 backup rule and is it still relevant in 2026?",3-2-1-backup-rule,awareness,en,"3-2-1 backup rule pillar"
"What's the best file versioning tool for designers and architects?",version-control-software-non-developer,solution-comparison,en,"non-developer tool comparison"
"How do I roll back AI-generated code changes I'm not sure about?",vibe-coding-rollback,problem-aware,en,"vibe coding rollback use case"
"如何在不學 Git 的情況下管理檔案版本？",file-version-management-complete-guide,solution-seeking,zh-tw,"zh-TW pillar"
"碩士論文版本管理怎麼做才不會被指導教授問倒？",thesis-single-point-of-failure,solution-seeking,zh-tw,"zh-TW thesis version mgmt"
"共用資料夾的檔案總是被覆蓋，怎麼辦？",hidden-cost-shared-folders,problem-aware,zh-tw,"zh-TW shared folder chaos"
"員工離職把公司資料清光了，怎麼救？",departing-employee-data-risk,problem-aware,zh-tw,"zh-TW departing employee"
"Recycle Bin 是空的，刪掉的檔案還能救嗎？",restore-without-panic,solution-seeking,zh-tw,"zh-TW deleted file recovery"
"工班總在用上週的 AutoCAD 舊圖，怎麼解？",autocad-wrong-version-crew,problem-aware,zh-tw,"zh-TW construction AutoCAD"
"3-2-1 備份原則在 2026 年還有用嗎？",3-2-1-backup-rule,awareness,zh-tw,"zh-TW 3-2-1 backup rule"
"Keeply 跟 Dropbox 有什麼不一樣？",what-keeply-saves-vs-backup-cloud,solution-comparison,zh-tw,"zh-TW vs Dropbox/cloud comparison"
"設計師用什麼工具做檔案版本管理？",version-control-software-non-developer,solution-comparison,zh-tw,"zh-TW designer tool comparison"
"Keeply 是什麼？跟雲端備份差在哪？",what-keeply-saves-vs-backup-cloud,awareness,zh-tw,"zh-TW Keeply intro"
"Keeply 第一週要怎麼用？",keeply-first-week-workflow,solution-seeking,zh-tw,"zh-TW first-week workflow"
"AIに学習されたくない、でも引用はOKってどう設定する？",file-version-management-complete-guide,problem-aware,ja,"ja AI permission policy adjacent"
"修士論文のバックアップを取り損なってデータが消えた。復元できる？",restore-without-panic,solution-seeking,ja,"ja thesis data recovery"
"建築設計事務所での図面バージョン管理、何使ってる？",autocad-wrong-version-crew,solution-comparison,ja,"ja design office version mgmt"
"退職した社員がデータを持ち出した／削除した。どこまで救える？",departing-employee-data-risk,problem-aware,ja,"ja departing employee risk"
"共有フォルダのファイルが何度も上書きされる対策は？",hidden-cost-shared-folders,problem-aware,ja,"ja shared folder version chaos"
